horizon_min,pollutant,mae_v5,rmse_v5,mape_pct_v5,mae_v4,rmse_v4,mape_pct_v4,delta_mae,improv_mae_pct,delta_rmse,improv_rmse_pct,delta_mape_pct,improv_mape_pct_pct
5,CO2,14.7264,28.4258,4.4283,15.914637565612791,31.59623236105948,4.121599,-1.1882375656127913,7.466318731037813,-3.1704323610594827,10.034210170154699,0.3067009038696291,-7.441308671591196
5,VoC,8.6348,13.5186,10.1248,7.558407783508301,11.107114666546858,13.710626,1.0763922164916995,-14.240991584204691,2.4114853334531414,-21.7111770755289,-3.585826271606445,26.153629100122117
5,PMS2_5,3.7781,9.8957,5.0842,3.045994997024536,9.410435553269895,4.09347,0.7321050029754637,-24.035003453724197,0.4852644467301044,-5.156662982617423,0.9907299053955079,-24.202691241256954
5,PMS10,4.2408,12.9624,4.883,2.8918306827545166,12.36787964937743,3.3088868,1.3489693172454835,-46.647589875285924,0.5945203506225702,-4.806970696908643,1.574113097003174,-47.57228613947903
15,CO2,16.4012,39.2639,4.6018,19.72923851013184,43.83262705264125,4.73825,-3.32803851013184,16.868560376793354,-4.5687270526412505,10.423119396996578,-0.1364500350952147,2.8797559239469663
15,VoC,8.6067,14.289,10.7302,7.777393817901611,13.22535919105496,13.555787,0.8293061820983887,-10.663034448415141,1.0636408089450402,-8.042434186468181,-2.825587186157227,20.844139745990294
15,PMS2_5,4.2377,10.9832,5.8735,3.4124467372894287,10.440242201527822,4.5568466,0.8252532627105715,-24.18362324753088,0.5429577984721785,-5.200624544330169,1.3166532703002929,-28.893956404223772
15,PMS10,5.023,14.1374,5.9185,2.9458553791046143,13.29284936950508,3.1615932,2.0771446208953854,-70.51074655340416,0.8445506304949202,-6.3534206019730926,2.7569067465942383,-87.19992014539503
30,CO2,18.2576,48.3352,4.6848,26.054048538208008,58.619754646071534,5.660628,-7.796448538208008,29.924134540838637,-10.284554646071534,17.54452011611297,-0.9758278519897461,17.23886204529528
30,VoC,8.6293,15.0953,11.5243,8.393728256225586,14.577235809062286,15.386073,0.2355717437744147,-2.806520970840664,0.5180641909377144,-3.553926119382031,-3.8617733784179684,25.099148939219102
30,PMS2_5,4.809,11.823,6.768,3.775700330734253,11.283318918989956,4.8522687,1.0332996692657472,-27.367099570402942,0.5396810810100447,-4.782999442246778,1.91573142588501,-39.481148797266705
30,PMS10,5.8963,15.2325,7.0292,4.144979953765869,14.563797659625315,4.4814987,1.751320046234131,-42.25159265777571,0.6687023403746846,-4.591538250923303,2.5477013770568844,-56.84931642373099
60,CO2,23.0092,61.2695,5.6291,32.36856842041016,74.53626817487914,6.6353292,-9.359368420410163,28.91499030343096,-13.26676817487914,17.799077549166096,-1.0062293541137697,15.164723913956257
60,VoC,9.3071,17.6113,13.6116,10.302472114562988,19.51114746723732,14.281898,-0.9953721145629881,9.661488071968396,-1.8998474672373185,9.737241084001479,-0.6702980778198242,4.693340323344213
60,PMS2_5,5.7506,13.6512,7.91,5.098240852355957,13.455743089652335,6.5418234,0.6523591476440433,-12.795769490070732,0.195456910347664,-1.4525909794119607,1.3681764474121092,-20.914298102314504
60,PMS10,7.141,17.3112,8.3382,5.579357624053955,16.887592053956638,6.155472,1.561642375946045,-27.98964470270792,0.4236079460433615,-2.50839755404341,2.182727615478516,-35.45995522559304
